player,team,event_type,result,original_x,original_y,converted_x,converted_y
Devin Booker,PHX,shot,made,-98,99,34.8,79.1
Devin Booker,PHX,shot,made,2,-2,24.8,89.2
Devin Booker,PHX,shot,made,-14,12,26.4,87.8
Devin Booker,PHX,shot,made,-9,6,25.9,88.4
Devin Booker,PHX,shot,made,-16,10,26.6,88
Devin Booker,PHX,shot,made,-16,2,26.6,88.8
Devin Booker,PHX,shot,made,-132,4,38.2,88.6
Devin Booker,PHX,shot,made,-22,20,27.2,87
Devin Booker,PHX,shot,made,-24,11,27.4,87.9
Devin Booker,PHX,shot,made,-52,67,19.8,11.7
Devin Booker,PHX,shot,made,-97,12,15.3,6.2
Devin Booker,PHX,shot,made,20,7,27,5.7
Devin Booker,PHX,shot,made,-221,122,2.9,17.2
Devin Booker,PHX,shot,made,35,122,28.5,17.2
Devin Booker,PHX,shot,made,216,110,46.6,16
Devin Booker,PHX,shot,made,-81,53,16.9,10.3
Devin Booker,PHX,shot,made,92,237,34.2,28.7
Devin Booker,PHX,shot,made,8,35,25.8,8.5
Devin Booker,PHX,shot,made,12,17,26.2,6.7
Devin Booker,PHX,shot,made,93,79,34.3,12.9
Devin Booker,PHX,shot,made,87,236,33.7,28.6
Devin Booker,PHX,shot,made,-236,55,1.4,10.5
Devin Booker,PHX,shot,made,-7,8,24.3,5.8
Devin Booker,PHX,shot,made,13,158,26.3,20.8
Devin Booker,PHX,shot,made,-53,157,19.7,20.7
Devin Booker,PHX,shot,made,11,-3,26.1,4.7
Devin Booker,PHX,shot,made,-43,142,20.7,19.2
Devin Booker,PHX,shot,made,141,220,39.1,27
Devin Booker,PHX,shot,made,-90,60,16,11
Devin Booker,PHX,shot,made,2,-6,25.2,4.4
Devin Booker,PHX,shot,made,-126,236,12.4,28.6
Devin Booker,PHX,shot,made,-7,24,24.3,7.4
Devin Booker,PHX,shot,made,109,147,35.9,19.7
Devin Booker,PHX,shot,made,-123,222,12.7,27.2
Devin Booker,PHX,shot,made,97,132,34.7,18.2
Devin Booker,PHX,shot,made,133,54,38.3,10.4
Devin Booker,PHX,shot,made,9,17,25.9,6.7
Devin Booker,PHX,shot,made,0,6,25,5.6
Devin Booker,PHX,shot,made,229,7,47.9,5.7
Devin Booker,PHX,shot,made,-14,22,23.6,7.2
Devin Booker,PHX,shot,made,-27,113,22.3,16.3
Devin Booker,PHX,shot,made,98,132,34.8,18.2
Devin Booker,PHX,shot,made,-234,4,1.6,5.4
Devin Booker,PHX,shot,made,-168,198,8.2,24.8
Devin Booker,PHX,shot,made,-5,23,25.5,86.7
Devin Booker,PHX,shot,made,-87,52,33.7,83.8
Devin Booker,PHX,shot,made,-181,3,43.1,88.7
Devin Booker,PHX,shot,made,-7,164,25.7,72.6
Devin Booker,PHX,shot,made,0,4,25,88.6
Devin Booker,PHX,shot,made,-176,189,42.6,70.1
Devin Booker,PHX,shot,made,190,75,6,81.5
Devin Booker,PHX,shot,made,-154,-20,40.4,91
Devin Booker,PHX,shot,made,-1,122,25.1,76.8
Devin Booker,PHX,shot,made,4,3,24.6,88.7
Devin Booker,PHX,shot,made,86,15,16.4,87.5
Devin Booker,PHX,shot,made,4,4,24.6,88.6
Devin Booker,PHX,shot,made,6,8,24.4,88.2
Devin Booker,PHX,shot,made,-76,131,32.6,75.9
Devin Booker,PHX,shot,made,127,110,12.3,78
Devin Booker,PHX,shot,made,-17,19,26.7,87.1
Devin Booker,PHX,shot,made,-56,105,30.6,78.5
Devin Booker,PHX,shot,made,-100,237,35,65.3
Devin Booker,PHX,shot,made,-108,116,35.8,77.4
